"","subj","native_lang","age","gender","trial_type","r1","r2","r3","r4","r5","r6"
"604","A17PAE30BGBO1T","English",40,"male","high","('answers_reported', 'placeholderFirefighter 1 says%2C ""The fifth floor.""%2CFirefighter 2 says%2C ""The fifth and second floors.""%2CFirefighter 3 says%2C ""The fifth%2C second%2C fourth%2C third and sixth floors.""')","('firefighter_A_chosen', 'no')","('firefighter_B_chosen', 'no')","('firefighter_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '57264')"
"605","A17PAE30BGBO1T","English",40,"male","low","('answers_reported', 'placeholderClassmate 1 says%2C ""Cafe D.""%2CClassmate 2 says%2C ""Cafes E%2C B%2C F%2C C and D.""%2CClassmate 3 says%2C ""Cafe A.""')","('coffee_classmate_A_chosen', 'no')","('coffee_classmate_B_chosen', 'yes')","('coffee_classmate_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '31655')"
"607","A17PAE30BGBO1T","English",40,"male","control","('what_A_chosen', 'yes')","('what_B_chosen', 'no')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '28388')",""
"608","A17PAE30BGBO1T","English",40,"male","high","('answers_reported', 'placeholderInspector 1 says%2C ""Restaurants A%2C B%2C C%2C D%2C and E.""%2CInspector 2 says%2C ""Restaurants C and E.""%2CInspector 3 says%2C ""Restaurant E.""')","('inspector_A_chosen', 'yes')","('inspector_B_chosen', 'no')","('inspector_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '44832')"
"609","A17PAE30BGBO1T","English",40,"male","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stall E.""%2CBrother 2 says%2C ""Stall C.""%2CBrother 3 says%2C ""Stalls C and D.""')","('brother_A_chosen', 'no')","('brother_B_chosen', 'no')","('brother_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '29664')"
"611","A17PAE30BGBO1T","English",40,"male","control","('why_A_chosen', 'yes')","('why_B_chosen', 'no')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '20322')",""
"612","A17PAE30BGBO1T","English",40,"male","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Places F%2C A%2C B%2C C and E.""%2CInvestigator 2 says%2C ""Places B and E.""%2CInvestigator 3 says%2C ""Place D.""')","('fbi_investigator_A_chosen', 'yes')","('fbi_investigator_B_chosen', 'no')","('fbi_investigator_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '23306')"
"613","A17PAE30BGBO1T","English",40,"male","low","('answers_reported', 'placeholderCousin 1 says%2C ""Location A.""%2CCousin 2 says%2C ""Location F.""%2CCousin 3 says%2C ""Location B.""')","('pic_cousin_A_chosen', 'yes')","('pic_cousin_B_chosen', 'no')","('pic_cousin_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '16849')"
"614","A17PAE30BGBO1T","English",40,"male","high","('answers_reported', 'placeholderOperative 1 says%2C ""The North district.""%2COperative 2 says%2C ""The Northeast district.""%2COperative 3 says%2C ""The Northeast%2C Southwest%2C South%2C Southeast and North districts.""')","('operative_A_chosen', 'no')","('operative_B_chosen', 'no')","('operative_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '24989')"
"616","A17PAE30BGBO1T","English",40,"male","control","('when_A_chosen', 'no')","('when_B_chosen', 'yes')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '44850')",""
"617","A17PAE30BGBO1T","English",40,"male","low","('answers_reported', 'placeholderFriend 1 says%2C ""Diners A and E.""%2CFriend 2 says%2C ""Diners C and F.""%2CFriend 3 says%2C ""Diner E.""')","('la_friend_A_chosen', 'no')","('la_friend_B_chosen', 'yes')","('la_friend_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '9767')"
"618","A17PAE30BGBO1T","English",40,"male","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Store C.""%2CAdvisor 2 says%2C ""Stores E%2C B%2C A%2C D%2C and F.""%2CAdvisor 3 says%2C ""Store F.""')","('terrorism_advisor_A_chosen', 'no')","('terrorism_advisor_B_chosen', 'yes')","('terrorism_advisor_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '30217')"
"620","A17PAE30BGBO1T","English",40,"male","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'no')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '34667')",""
"621","A17PAE30BGBO1T","English",40,"male","exit_quest","('know_conditons', 'He found the coffee at the store.')","('know_conditons', 'He can find coffee at the store.')","('difficult', ""It wasn't terribly difficult."")","('anything_else', 'While some of the answers seemed subjective and there could have been more than one answer%2C  I chose the most correct one.')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '127842')"
"622","A2EPBSY0VPI38S","english",48,"female","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '8567')","","","",""
"623","A2EPBSY0VPI38S","english",48,"female","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '135302')",""
"624","A2EPBSY0VPI38S","english",48,"female","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '39394')",""
"625","A2EPBSY0VPI38S","english",48,"female","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '2261')","","","",""
"626","A2EPBSY0VPI38S","english",48,"female","low","('answers_reported', 'placeholderCoworker 1 says%2C ""Studios F%2C E%2C D%2C C and B.""%2CCoworker 2 says%2C ""Studio A.""%2CCoworker 3 says%2C ""Studio F.""')","('yoga_coworker_A_chosen', 'yes')","('yoga_coworker_B_chosen', 'yes')","('yoga_coworker_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '48025')"
"627","A2EPBSY0VPI38S","english",48,"female","high","('answers_reported', 'placeholderOperative 1 says%2C ""The South and North districts.""%2COperative 2 says%2C ""The Northeast%2C Southwest%2C South%2C Southeast and North districts.""%2COperative 3 says%2C ""The Northeast and Southwest districts.""')","('operative_A_chosen', 'yes')","('operative_B_chosen', 'yes')","('operative_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '99386')"
"628","A2EPBSY0VPI38S","english",48,"female","control","('what_A_chosen', 'yes')","('what_B_chosen', 'no')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '24091')",""
"629","A2EPBSY0VPI38S","english",48,"female","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stall B.""%2CBrother 2 says%2C ""Stalls A and B.""%2CBrother 3 says%2C ""Stall E.""')","('brother_A_chosen', 'yes')","('brother_B_chosen', 'yes')","('brother_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '29353')"
"631","A2EPBSY0VPI38S","english",48,"female","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Place E.""%2CInvestigator 2 says%2C ""Places B and E.""%2CInvestigator 3 says%2C ""Place F.""')","('fbi_investigator_A_chosen', 'yes')","('fbi_investigator_B_chosen', 'yes')","('fbi_investigator_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '66269')"
"632","A2EPBSY0VPI38S","english",48,"female","control","('when_A_chosen', 'no')","('when_B_chosen', 'yes')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '27190')",""
"633","A2EPBSY0VPI38S","english",48,"female","low","('answers_reported', 'placeholderFriend 1 says%2C ""Diner B.""%2CFriend 2 says%2C ""Diners C%2C F%2C A%2C D%2C and E.""%2CFriend 3 says%2C ""Diner E.""')","('la_friend_A_chosen', 'yes')","('la_friend_B_chosen', 'yes')","('la_friend_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '41578')"
"635","A2EPBSY0VPI38S","english",48,"female","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Store E.""%2CAdvisor 2 says%2C ""Stores E%2C B%2C A%2C D%2C and F.""%2CAdvisor 3 says%2C ""Stores E and B.""')","('terrorism_advisor_A_chosen', 'yes')","('terrorism_advisor_B_chosen', 'no')","('terrorism_advisor_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '39153')"
"636","A2EPBSY0VPI38S","english",48,"female","low","('answers_reported', 'placeholderClassmate 1 says%2C ""Cafes E%2C B%2C F%2C C and D.""%2CClassmate 2 says%2C ""Cafes F and D.""%2CClassmate 3 says%2C ""Cafes E and B.""')","('coffee_classmate_A_chosen', 'yes')","('coffee_classmate_B_chosen', 'yes')","('coffee_classmate_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '27713')"
"637","A2EPBSY0VPI38S","english",48,"female","control","('why_A_chosen', 'yes')","('why_B_chosen', 'no')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '32160')",""
"638","A2EPBSY0VPI38S","english",48,"female","high","('answers_reported', 'placeholderInspector 1 says%2C ""Restaurants C and E.""%2CInspector 2 says%2C ""Restaurant A.""%2CInspector 3 says%2C ""Restaurant E.""')","('inspector_A_chosen', 'yes')","('inspector_B_chosen', 'yes')","('inspector_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '40191')"
"640","A2EPBSY0VPI38S","english",48,"female","low","('answers_reported', 'placeholderCousin 1 says%2C ""Locations A and D.""%2CCousin 2 says%2C ""Location F.""%2CCousin 3 says%2C ""Location A.""')","('pic_cousin_A_chosen', 'yes')","('pic_cousin_B_chosen', 'no')","('pic_cousin_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '52121')"
"641","A2EPBSY0VPI38S","english",48,"female","high","('answers_reported', 'placeholderFirefighter 1 says%2C ""The fourth and sixth floors.""%2CFirefighter 2 says%2C ""The fifth floor.""%2CFirefighter 3 says%2C ""The fifth%2C second%2C fourth%2C third and sixth floors.""')","('firefighter_A_chosen', 'no')","('firefighter_B_chosen', 'no')","('firefighter_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '69569')"
"642","A2EPBSY0VPI38S","english",48,"female","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'no')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '23894')",""
"644","A2EPBSY0VPI38S","english",48,"female","exit_quest","('know_conditons', '%0AI am not certain. john found coffee in place c ')","('know_conditons', 'John can find coffee in place a. Not sure how to answer the question. ')","('difficult', 'the task was a little difficult. the wording was a little tricky. ')","('anything_else', 'no. ')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '146681')"
"645","A2GN5L03ZQEOZF","English",25,"female","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '16700')","","","",""
"646","A2GN5L03ZQEOZF","English",25,"female","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '89947')",""
"647","A2GN5L03ZQEOZF","English",25,"female","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '52847')",""
"648","A2GN5L03ZQEOZF","English",25,"female","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '2244')","","","",""
"649","A2GN5L03ZQEOZF","English",25,"female","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Places F and A.""%2CInvestigator 2 says%2C ""Places B and E.""%2CInvestigator 3 says%2C ""Place F.""')","('fbi_investigator_A_chosen', 'yes')","('fbi_investigator_B_chosen', 'no')","('fbi_investigator_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '29145')"
"650","A2GN5L03ZQEOZF","English",25,"female","low","('answers_reported', 'placeholderCoworker 1 says%2C ""Studios F and E.""%2CCoworker 2 says%2C ""Studio B.""%2CCoworker 3 says%2C ""Studio F.""')","('yoga_coworker_A_chosen', 'no')","('yoga_coworker_B_chosen', 'no')","('yoga_coworker_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '30463')"
"651","A2GN5L03ZQEOZF","English",25,"female","control","('what_A_chosen', 'yes')","('what_B_chosen', 'no')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '27235')",""
"653","A2GN5L03ZQEOZF","English",25,"female","high","('answers_reported', 'placeholderFirefighter 1 says%2C ""The fourth and sixth floors.""%2CFirefighter 2 says%2C ""The fifth and second floors.""%2CFirefighter 3 says%2C ""The sixth floor.""')","('firefighter_A_chosen', 'yes')","('firefighter_B_chosen', 'yes')","('firefighter_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '68906')"
"654","A2GN5L03ZQEOZF","English",25,"female","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stall B.""%2CBrother 2 says%2C ""Stall C.""%2CBrother 3 says%2C ""Stalls C and D.""')","('brother_A_chosen', 'yes')","('brother_B_chosen', 'yes')","('brother_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '35860')"
"655","A2GN5L03ZQEOZF","English",25,"female","control","('when_A_chosen', 'no')","('when_B_chosen', 'yes')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '48188')",""
"657","A2GN5L03ZQEOZF","English",25,"female","high","('answers_reported', 'placeholderOperative 1 says%2C ""The North district.""%2COperative 2 says%2C ""The South and North districts.""%2COperative 3 says%2C ""The Northeast and Southwest districts.""')","('operative_A_chosen', 'no')","('operative_B_chosen', 'no')","('operative_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '73284')"
"658","A2GN5L03ZQEOZF","English",25,"female","low","('answers_reported', 'placeholderCousin 1 says%2C ""Locations D and F.""%2CCousin 2 says%2C ""Location F.""%2CCousin 3 says%2C ""Locations A and D.""')","('pic_cousin_A_chosen', 'no')","('pic_cousin_B_chosen', 'no')","('pic_cousin_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '31912')"
"659","A2GN5L03ZQEOZF","English",25,"female","high","('answers_reported', 'placeholderInspector 1 says%2C ""Restaurant E.""%2CInspector 2 says%2C ""Restaurants A and B.""%2CInspector 3 says%2C ""Restaurant A.""')","('inspector_A_chosen', 'yes')","('inspector_B_chosen', 'yes')","('inspector_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '31471')"
"660","A2GN5L03ZQEOZF","English",25,"female","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'yes')","('how_guest_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '58959')",""
"662","A2GN5L03ZQEOZF","English",25,"female","low","('answers_reported', 'placeholderFriend 1 says%2C ""Diner E.""%2CFriend 2 says%2C ""Diners C and F.""%2CFriend 3 says%2C ""Diners A and E.""')","('la_friend_A_chosen', 'yes')","('la_friend_B_chosen', 'yes')","('la_friend_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '53815')"
"663","A2GN5L03ZQEOZF","English",25,"female","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Stores E and B.""%2CAdvisor 2 says%2C ""Stores E%2C B%2C A%2C D%2C and F.""%2CAdvisor 3 says%2C ""Store F.""')","('terrorism_advisor_A_chosen', 'no')","('terrorism_advisor_B_chosen', 'yes')","('terrorism_advisor_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '30414')"
"664","A2GN5L03ZQEOZF","English",25,"female","low","('answers_reported', 'placeholderClassmate 1 says%2C ""Cafes E and B.""%2CClassmate 2 says%2C ""Cafe E.""%2CClassmate 3 says%2C ""Cafe D.""')","('coffee_classmate_A_chosen', 'yes')","('coffee_classmate_B_chosen', 'yes')","('coffee_classmate_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '19443')"
"665","A2GN5L03ZQEOZF","English",25,"female","control","('why_A_chosen', 'yes')","('why_B_chosen', 'no')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '44278')",""
"667","A2GN5L03ZQEOZF","English",25,"female","exit_quest","('know_conditons', 'He got coffee at the nearest starbucks')","('know_conditons', 'John can google the nearest locations that serve coffee.')","('difficult', 'It was slightly difficult. The questions could be sometimes right so I could choose more than one.')","('anything_else', 'none just Worker id: A2GN5L03ZQEOZF')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '128122')"
"668","A2EUXA84IMO859","English",44,"female","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '16296')","","","",""
"669","A2EUXA84IMO859","English",44,"female","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '37100')",""
"670","A2EUXA84IMO859","English",44,"female","train","('train_f_A_chosen', 'yes')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '30022')",""
"671","A2EUXA84IMO859","English",44,"female","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '2097')","","","",""
"672","A2EUXA84IMO859","English",44,"female","low","('answers_reported', 'placeholderClassmate 1 says%2C ""Cafe D.""%2CClassmate 2 says%2C ""Cafe A.""%2CClassmate 3 says%2C ""Cafes E%2C B%2C F%2C C and D.""')","('coffee_classmate_A_chosen', 'no')","('coffee_classmate_B_chosen', 'no')","('coffee_classmate_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '51777')"
"673","A2EUXA84IMO859","English",44,"female","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Stores E and B.""%2CAdvisor 2 says%2C ""Store E.""%2CAdvisor 3 says%2C ""Stores A and F.""')","('terrorism_advisor_A_chosen', 'yes')","('terrorism_advisor_B_chosen', 'yes')","('terrorism_advisor_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '29618')"
"674","A2EUXA84IMO859","English",44,"female","control","('what_A_chosen', 'yes')","('what_B_chosen', 'no')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '19967')",""
"675","A2EUXA84IMO859","English",44,"female","low","('answers_reported', 'placeholderCousin 1 says%2C ""Locations D and F.""%2CCousin 2 says%2C ""Locations A and D.""%2CCousin 3 says%2C ""Location A.""')","('pic_cousin_A_chosen', 'no')","('pic_cousin_B_chosen', 'no')","('pic_cousin_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '21960')"
"677","A2EUXA84IMO859","English",44,"female","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Place E.""%2CInvestigator 2 says%2C ""Places B and E.""%2CInvestigator 3 says%2C ""Places F and A.""')","('fbi_investigator_A_chosen', 'no')","('fbi_investigator_B_chosen', 'no')","('fbi_investigator_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '15296')"
"678","A2EUXA84IMO859","English",44,"female","control","('when_A_chosen', 'no')","('when_B_chosen', 'no')","('when_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '26256')",""
"679","A2EUXA84IMO859","English",44,"female","low","('answers_reported', 'placeholderFriend 1 says%2C ""Diners C%2C F%2C A%2C D%2C and E.""%2CFriend 2 says%2C ""Diner E.""%2CFriend 3 says%2C ""Diner C.""')","('la_friend_A_chosen', 'no')","('la_friend_B_chosen', 'no')","('la_friend_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '8259')"
"681","A2EUXA84IMO859","English",44,"female","high","('answers_reported', 'placeholderOperative 1 says%2C ""The South and North districts.""%2COperative 2 says%2C ""The North district.""%2COperative 3 says%2C ""The Northeast and Southwest districts.""')","('operative_A_chosen', 'no')","('operative_B_chosen', 'no')","('operative_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '21906')"
"682","A2EUXA84IMO859","English",44,"female","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stall C.""%2CBrother 2 says%2C ""Stalls C%2C D%2C A%2C F and B.""%2CBrother 3 says%2C ""Stalls A and B.""')","('brother_A_chosen', 'yes')","('brother_B_chosen', 'no')","('brother_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '18023')"
"683","A2EUXA84IMO859","English",44,"female","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'yes')","('how_guest_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '30732')",""
"684","A2EUXA84IMO859","English",44,"female","high","('answers_reported', 'placeholderFirefighter 1 says%2C ""The fourth and sixth floors.""%2CFirefighter 2 says%2C ""The fifth floor.""%2CFirefighter 3 says%2C ""The first floor.""')","('firefighter_A_chosen', 'yes')","('firefighter_B_chosen', 'yes')","('firefighter_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '24749')"
"686","A2EUXA84IMO859","English",44,"female","low","('answers_reported', 'placeholderCoworker 1 says%2C ""Studio A.""%2CCoworker 2 says%2C ""Studios C and B.""%2CCoworker 3 says%2C ""Studio B.""')","('yoga_coworker_A_chosen', 'yes')","('yoga_coworker_B_chosen', 'yes')","('yoga_coworker_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '12390')"
"687","A2EUXA84IMO859","English",44,"female","high","('answers_reported', 'placeholderInspector 1 says%2C ""Restaurants A%2C B%2C C%2C D%2C and E.""%2CInspector 2 says%2C ""Restaurants A and B.""%2CInspector 3 says%2C ""Restaurant E.""')","('inspector_A_chosen', 'yes')","('inspector_B_chosen', 'yes')","('inspector_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '29641')"
"688","A2EUXA84IMO859","English",44,"female","control","('why_A_chosen', 'yes')","('why_B_chosen', 'yes')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '25336')",""
"690","A2EUXA84IMO859","English",44,"female","exit_quest","('know_conditons', 'John found coffee in the cabinet.')","('know_conditons', 'He can find coffee in the cabinet.')","('difficult', 'Yes%2C because there were multiple answers for some questions and only 1 answer in others.')","('anything_else', 'I have nothing specific to share at this time.')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '77417')"
"691","A3DB11T127QKJF","english",27,"male","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '6190')","","","",""
"692","A3DB11T127QKJF","english",27,"male","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '35790')",""
"693","A3DB11T127QKJF","english",27,"male","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'yes')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '40294')",""
"694","A3DB11T127QKJF","english",27,"male","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '3032')","","","",""
"695","A3DB11T127QKJF","english",27,"male","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Places F and A.""%2CInvestigator 2 says%2C ""Place E.""%2CInvestigator 3 says%2C ""Places B and E.""')","('fbi_investigator_A_chosen', 'yes')","('fbi_investigator_B_chosen', 'yes')","('fbi_investigator_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '62039')"
"696","A3DB11T127QKJF","english",27,"male","low","('answers_reported', 'placeholderCoworker 1 says%2C ""Studios F and E.""%2CCoworker 2 says%2C ""Studio B.""%2CCoworker 3 says%2C ""Studio F.""')","('yoga_coworker_A_chosen', 'yes')","('yoga_coworker_B_chosen', 'yes')","('yoga_coworker_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '21925')"
"697","A3DB11T127QKJF","english",27,"male","high","('answers_reported', 'placeholderOperative 1 says%2C ""The Northeast%2C Southwest%2C South%2C Southeast and North districts.""%2COperative 2 says%2C ""The North district.""%2COperative 3 says%2C ""The Northeast and Southwest districts.""')","('operative_A_chosen', 'yes')","('operative_B_chosen', 'yes')","('operative_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '64545')"
"698","A3DB11T127QKJF","english",27,"male","control","('when_A_chosen', 'no')","('when_B_chosen', 'no')","('when_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '35371')",""
"700","A3DB11T127QKJF","english",27,"male","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stalls A and B.""%2CBrother 2 says%2C ""Stalls C and D.""%2CBrother 3 says%2C ""Stalls C%2C D%2C A%2C F and B.""')","('brother_A_chosen', 'yes')","('brother_B_chosen', 'yes')","('brother_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '38631')"
"701","A3DB11T127QKJF","english",27,"male","high","('answers_reported', 'placeholderInspector 1 says%2C ""Restaurant E.""%2CInspector 2 says%2C ""Restaurant A.""%2CInspector 3 says%2C ""Restaurants C and E.""')","('inspector_A_chosen', 'yes')","('inspector_B_chosen', 'yes')","('inspector_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '23019')"
"702","A3DB11T127QKJF","english",27,"male","control","('what_A_chosen', 'yes')","('what_B_chosen', 'yes')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '20548')",""
"704","A3DB11T127QKJF","english",27,"male","low","('answers_reported', 'placeholderCousin 1 says%2C ""Location B.""%2CCousin 2 says%2C ""Locations D and F.""%2CCousin 3 says%2C ""Location F.""')","('pic_cousin_A_chosen', 'no')","('pic_cousin_B_chosen', 'yes')","('pic_cousin_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '33537')"
"705","A3DB11T127QKJF","english",27,"male","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Stores E%2C B%2C A%2C D%2C and F.""%2CAdvisor 2 says%2C ""Stores A and F.""%2CAdvisor 3 says%2C ""Store E.""')","('terrorism_advisor_A_chosen', 'yes')","('terrorism_advisor_B_chosen', 'yes')","('terrorism_advisor_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '23445')"
"706","A3DB11T127QKJF","english",27,"male","low","('answers_reported', 'placeholderClassmate 1 says%2C ""Cafes E and B.""%2CClassmate 2 says%2C ""Cafe E.""%2CClassmate 3 says%2C ""Cafe A.""')","('coffee_classmate_A_chosen', 'yes')","('coffee_classmate_B_chosen', 'yes')","('coffee_classmate_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '11577')"
"707","A3DB11T127QKJF","english",27,"male","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'yes')","('how_guest_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '23732')",""
"709","A3DB11T127QKJF","english",27,"male","high","('answers_reported', 'placeholderFirefighter 1 says%2C ""The fourth and sixth floors.""%2CFirefighter 2 says%2C ""The fifth floor.""%2CFirefighter 3 says%2C ""The first floor.""')","('firefighter_A_chosen', 'yes')","('firefighter_B_chosen', 'yes')","('firefighter_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '9918')"
"710","A3DB11T127QKJF","english",27,"male","low","('answers_reported', 'placeholderFriend 1 says%2C ""Diner C.""%2CFriend 2 says%2C ""Diners C and F.""%2CFriend 3 says%2C ""Diner E.""')","('la_friend_A_chosen', 'yes')","('la_friend_B_chosen', 'yes')","('la_friend_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '11712')"
"711","A3DB11T127QKJF","english",27,"male","control","('why_A_chosen', 'yes')","('why_B_chosen', 'no')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '21574')",""
