"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"11","A2MM10557W7PLD","english",35,"male","nst","('NST_2a_chosen', 'yes')","('NST_2b_chosen', 'no')","('NST_2c_chosen', 'no')","('NST_2d_chosen', 'no')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '12848')"
"12","A2MM10557W7PLD","english",35,"male","ginz","('ginzwhere_smallgrain_y_chosen', 'yes')","('ginzwhere_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '5545')","","",""
"13","A2MM10557W7PLD","english",35,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stylist A.""%2CFriend 2 says%2C ""Stylists D and E.""%2CFriend 3 says%2C ""Stylist E.""')","('hair_A_chosen', 'no')","('hair_B_chosen', 'yes')","('hair_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2766')"
"14","A2MM10557W7PLD","english",35,"male","control","('why_A_chosen', 'no')","('why_B_chosen', 'no')","('why_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '3615')",""
"15","A2MM10557W7PLD","english",35,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Store A.""%2CFriend 2 says%2C ""Store E.""%2CFriend 3 says%2C ""Stores A and B.""')","('shoes_A_chosen', 'yes')","('shoes_B_chosen', 'no')","('shoes_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4791')"
"16","A2MM10557W7PLD","english",35,"male","nst","('NST_3a_chosen', 'yes')","('NST_3b_chosen', 'no')","('NST_3c_chosen', 'no')","('NST_3d_chosen', 'no')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '7372')"
"17","A2MM10557W7PLD","english",35,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '10105')","","",""
"18","A2MM10557W7PLD","english",35,"male","control","('when_A_chosen', 'no')","('when_B_chosen', 'no')","('when_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '3895')",""
"19","A2MM10557W7PLD","english",35,"male","test","('answers_reported', 'placeholderCoworker 1 says%2C ""Dentist E.""%2CCoworker 2 says%2C ""Dentists A and B.""%2CCoworker 3 says%2C ""Dentists D and E.""')","('dentist_A_chosen', 'no')","('dentist_B_chosen', 'no')","('dentist_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2823')"
"20","A2MM10557W7PLD","english",35,"male","nst","('NST_4a_chosen', 'no')","('NST_4b_chosen', 'yes')","('_REACTION_TIME_', '5941')","","",""
"21","A2MM10557W7PLD","english",35,"male","ginz","('ginzwho_smallgrain_y_chosen', 'yes')","('ginzwho_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '3104')","","",""
"22","A2MM10557W7PLD","english",35,"male","control","('what_A_chosen', 'no')","('what_B_chosen', 'no')","('what_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '2975')",""
"23","A2MM10557W7PLD","english",35,"male","exit_quest","('know_conditons', 'No%2C the answer would be the same')","('difficult', 'No%2C it was fun')","('anything_else', 'interesting')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '30724')",""
"24","A3FFZN4FO3Q789","english",30,"male","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1596')","","","",""
"25","A3FFZN4FO3Q789","english",30,"male","train","('train_m_A_chosen', 'yes')","('train_m_B_chosen', 'yes')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '7389')",""
"26","A3FFZN4FO3Q789","english",30,"male","train","('train_f_A_chosen', 'yes')","('train_f_B_chosen', 'yes')","('train_f_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '5555')",""
"27","A3FFZN4FO3Q789","english",30,"male","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '971')","","","",""
"28","A3FFZN4FO3Q789","english",30,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Cafe E.""%2CRoommate 2 says%2C ""Cafes A and B.""%2CRoommate 3 says%2C ""Cafe A.""')","('coffee_A_chosen', 'no')","('coffee_B_chosen', 'yes')","('coffee_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3235')"
"29","A3FFZN4FO3Q789","english",30,"male","ginz","('ginzwhere_smallgrain_y_chosen', 'no')","('ginzwhere_smallgrain_n_chosen', 'yes')","('_REACTION_TIME_', '4597')","","",""
"30","A3FFZN4FO3Q789","english",30,"male","nst","('NST_1a_chosen', 'no')","('NST_1b_chosen', 'no')","('NST_1c_chosen', 'yes')","('NST_1d_chosen', 'no')","('_REACTION_TIME_', '1245')",""
"31","A3FFZN4FO3Q789","english",30,"male","control","('when_A_chosen', 'no')","('when_B_chosen', 'no')","('when_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '2135')",""
"32","A3FFZN4FO3Q789","english",30,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Stall F.""%2CRoommate 2 says%2C ""Stalls A and B.""%2CRoommate 3 says%2C ""Stall E.""')","('florist_A_chosen', 'no')","('florist_B_chosen', 'yes')","('florist_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1572')"
"33","A3FFZN4FO3Q789","english",30,"male","ginz","('ginzwho_smallgrain_y_chosen', 'no')","('ginzwho_smallgrain_n_chosen', 'yes')","('_REACTION_TIME_', '2374')","","",""
"34","A3FFZN4FO3Q789","english",30,"male","nst","('NST_2a_chosen', 'no')","('NST_2b_chosen', 'no')","('NST_2c_chosen', 'no')","('NST_2d_chosen', 'yes')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '1990')"
"35","A3FFZN4FO3Q789","english",30,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Bookstore F.""%2CFriend 2 says%2C ""Bookstores D and E.""%2CFriend 3 says%2C ""Bookstore A.""')","('books_A_chosen', 'no')","('books_B_chosen', 'no')","('books_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2283')"
"36","A3FFZN4FO3Q789","english",30,"male","control","('what_A_chosen', 'no')","('what_B_chosen', 'no')","('what_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '2188')",""
"37","A3FFZN4FO3Q789","english",30,"male","test","('answers_reported', 'placeholderCoworker 1 says%2C ""Dentists A and B.""%2CCoworker 2 says%2C ""Dentists D and E.""%2CCoworker 3 says%2C ""Dentist E.""')","('dentist_A_chosen', 'no')","('dentist_B_chosen', 'yes')","('dentist_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1746')"
"38","A3FFZN4FO3Q789","english",30,"male","ginz","('ginzwhere_largegrain_y_chosen', 'no')","('ginzwhere_largegrain_n_chosen', 'yes')","('_REACTION_TIME_', '2164')","","",""
"39","A3FFZN4FO3Q789","english",30,"male","nst","('NST_4a_chosen', 'no')","('NST_4b_chosen', 'yes')","('_REACTION_TIME_', '5614')","","",""
"40","A3FFZN4FO3Q789","english",30,"male","control","('why_A_chosen', 'no')","('why_B_chosen', 'no')","('why_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '4364')",""
"41","A3FFZN4FO3Q789","english",30,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stores A and B.""%2CFriend 2 says%2C ""Store E.""%2CFriend 3 says%2C ""Stores D and E.""')","('shoes_A_chosen', 'no')","('shoes_B_chosen', 'yes')","('shoes_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2235')"
"42","A3FFZN4FO3Q789","english",30,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stylists A and B.""%2CFriend 2 says%2C ""Stylist E.""%2CFriend 3 says%2C ""Stylist A.""')","('hair_A_chosen', 'yes')","('hair_B_chosen', 'no')","('hair_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4653')"
"43","A3FFZN4FO3Q789","english",30,"male","ginz","('ginzwhere_largegrain_y_chosen', 'no')","('ginzwhere_largegrain_n_chosen', 'yes')","('_REACTION_TIME_', '1365')","","",""
"44","A3FFZN4FO3Q789","english",30,"male","nst","('NST_3a_chosen', 'no')","('NST_3b_chosen', 'yes')","('NST_3c_chosen', 'no')","('NST_3d_chosen', 'yes')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '2182')"
"45","A3FFZN4FO3Q789","english",30,"male","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'yes')","('how_guest_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '1836')",""
"46","A3FFZN4FO3Q789","english",30,"male","exit_quest","('know_conditons', 'brunch in town')","('difficult', 'none')","('anything_else', 'nothing else')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '35049')",""
"47","A1XGI8153WBWFQ","Albanian",28,"male","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '6196')","","","",""
"48","A1XGI8153WBWFQ","Albanian",28,"male","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '29178')",""
"49","A1XGI8153WBWFQ","Albanian",28,"male","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'yes')","('train_f_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '9034')",""
"50","A1XGI8153WBWFQ","Albanian",28,"male","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '2830')","","","",""
"51","A1XGI8153WBWFQ","Albanian",28,"male","test","('answers_reported', 'placeholderCoworker 1 says%2C ""Dentists D and E.""%2CCoworker 2 says%2C ""Dentist E.""%2CCoworker 3 says%2C ""Dentist F.""')","('dentist_A_chosen', 'no')","('dentist_B_chosen', 'yes')","('dentist_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '17918')"
"52","A1XGI8153WBWFQ","Albanian",28,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '10278')","","",""
"53","A1XGI8153WBWFQ","Albanian",28,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Bookstores A and B.""%2CFriend 2 says%2C ""Bookstore E.""%2CFriend 3 says%2C ""Bookstore A.""')","('books_A_chosen', 'no')","('books_B_chosen', 'yes')","('books_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2482')"
"54","A1XGI8153WBWFQ","Albanian",28,"male","nst","('NST_1a_chosen', 'no')","('NST_1b_chosen', 'no')","('NST_1c_chosen', 'yes')","('NST_1d_chosen', 'no')","('_REACTION_TIME_', '2508')",""
"55","A1XGI8153WBWFQ","Albanian",28,"male","control","('why_A_chosen', 'no')","('why_B_chosen', 'no')","('why_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '5128')",""
"56","A1XGI8153WBWFQ","Albanian",28,"male","ginz","('ginzwhere_smallgrain_y_chosen', 'yes')","('ginzwhere_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '3934')","","",""
"57","A1XGI8153WBWFQ","Albanian",28,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Stalls A%2C B%2C C%2C D and E.""%2CRoommate 2 says%2C ""Stalls D and E.""%2CRoommate 3 says%2C ""Stall A.""')","('florist_A_chosen', 'no')","('florist_B_chosen', 'yes')","('florist_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2518')"
"58","A1XGI8153WBWFQ","Albanian",28,"male","nst","('NST_2a_chosen', 'no')","('NST_2b_chosen', 'yes')","('NST_2c_chosen', 'yes')","('NST_2d_chosen', 'no')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '10652')"
"59","A1XGI8153WBWFQ","Albanian",28,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stylist E.""%2CFriend 2 says%2C ""Stylist F.""%2CFriend 3 says%2C ""Stylists D and E.""')","('hair_A_chosen', 'no')","('hair_B_chosen', 'no')","('hair_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2536')"
"60","A1XGI8153WBWFQ","Albanian",28,"male","control","('what_A_chosen', 'no')","('what_B_chosen', 'no')","('what_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '4576')",""
"61","A1XGI8153WBWFQ","Albanian",28,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '5804')","","",""
"62","A1XGI8153WBWFQ","Albanian",28,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Store A.""%2CFriend 2 says%2C ""Stores D and E.""%2CFriend 3 says%2C ""Store E.""')","('shoes_A_chosen', 'no')","('shoes_B_chosen', 'yes')","('shoes_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3846')"
"63","A1XGI8153WBWFQ","Albanian",28,"male","nst","('NST_3a_chosen', 'no')","('NST_3b_chosen', 'yes')","('NST_3c_chosen', 'yes')","('NST_3d_chosen', 'no')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '5454')"
"64","A1XGI8153WBWFQ","Albanian",28,"male","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'yes')","('how_guest_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '2156')",""
"65","A1XGI8153WBWFQ","Albanian",28,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Cafes A and B.""%2CRoommate 2 says%2C ""Cafe E.""%2CRoommate 3 says%2C ""Cafes D and E.""')","('coffee_A_chosen', 'no')","('coffee_B_chosen', 'no')","('coffee_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2582')"
"66","A1XGI8153WBWFQ","Albanian",28,"male","ginz","('ginzwho_smallgrain_y_chosen', 'yes')","('ginzwho_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '4122')","","",""
"67","A1XGI8153WBWFQ","Albanian",28,"male","nst","('NST_4a_chosen', 'no')","('NST_4b_chosen', 'yes')","('_REACTION_TIME_', '9572')","","",""
"68","A1XGI8153WBWFQ","Albanian",28,"male","control","('when_A_chosen', 'no')","('when_B_chosen', 'no')","('when_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '2276')",""
"69","A1XGI8153WBWFQ","Albanian",28,"male","exit_quest","('know_conditons', 'I would answer exactly the same way because the questions are similar')","('difficult', 'No%2C the task was easy.')","('anything_else', 'No comment.')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '44370')",""
"70","A14NSVH4W27CK0","english",28,"male","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '4102')","","","",""
"71","A14NSVH4W27CK0","english",28,"male","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'yes')","('train_m_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '15274')",""
"72","A14NSVH4W27CK0","english",28,"male","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'yes')","('train_f_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '6292')",""
"73","A14NSVH4W27CK0","english",28,"male","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '2408')","","","",""
"74","A14NSVH4W27CK0","english",28,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Cafe E.""%2CRoommate 2 says%2C ""Cafe F.""%2CRoommate 3 says%2C ""Cafes A and B.""')","('coffee_A_chosen', 'no')","('coffee_B_chosen', 'no')","('coffee_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '6092')"
"75","A14NSVH4W27CK0","english",28,"male","nst","('NST_1a_chosen', 'yes')","('NST_1b_chosen', 'no')","('NST_1c_chosen', 'no')","('NST_1d_chosen', 'no')","('_REACTION_TIME_', '10506')",""
"76","A14NSVH4W27CK0","english",28,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Store A.""%2CFriend 2 says%2C ""Stores A and B.""%2CFriend 3 says%2C ""Stores A%2C B%2C C%2C D and E.""')","('shoes_A_chosen', 'no')","('shoes_B_chosen', 'no')","('shoes_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4060')"
"77","A14NSVH4W27CK0","english",28,"male","ginz","('ginzwhere_largegrain_y_chosen', 'no')","('ginzwhere_largegrain_n_chosen', 'yes')","('_REACTION_TIME_', '7108')","","",""
"78","A14NSVH4W27CK0","english",28,"male","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'no')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '3460')",""
"79","A14NSVH4W27CK0","english",28,"male","nst","('NST_4a_chosen', 'no')","('NST_4b_chosen', 'yes')","('_REACTION_TIME_', '7144')","","",""
"80","A14NSVH4W27CK0","english",28,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Stall A.""%2CRoommate 2 says%2C ""Stall E.""%2CRoommate 3 says%2C ""Stalls A and B.""')","('florist_A_chosen', 'no')","('florist_B_chosen', 'no')","('florist_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4448')"
"81","A14NSVH4W27CK0","english",28,"male","ginz","('ginzwhere_smallgrain_y_chosen', 'yes')","('ginzwhere_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '11032')","","",""
"82","A14NSVH4W27CK0","english",28,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Bookstore E.""%2CFriend 2 says%2C ""Bookstore F.""%2CFriend 3 says%2C ""Bookstores D and E.""')","('books_A_chosen', 'no')","('books_B_chosen', 'yes')","('books_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4500')"
"83","A14NSVH4W27CK0","english",28,"male","control","('what_A_chosen', 'no')","('what_B_chosen', 'yes')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '6292')",""
"84","A14NSVH4W27CK0","english",28,"male","nst","('NST_3a_chosen', 'yes')","('NST_3b_chosen', 'no')","('NST_3c_chosen', 'no')","('NST_3d_chosen', 'no')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '19826')"
"85","A14NSVH4W27CK0","english",28,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stylist F.""%2CFriend 2 says%2C ""Stylists A and B.""%2CFriend 3 says%2C ""Stylists D and E.""')","('hair_A_chosen', 'no')","('hair_B_chosen', 'no')","('hair_C_chosen', 'no')","('no_one_chosen', 'yes')","('_REACTION_TIME_', '3896')"
"86","A14NSVH4W27CK0","english",28,"male","ginz","('ginzwho_smallgrain_y_chosen', 'no')","('ginzwho_smallgrain_n_chosen', 'yes')","('_REACTION_TIME_', '2622')","","",""
"87","A14NSVH4W27CK0","english",28,"male","control","('when_A_chosen', 'no')","('when_B_chosen', 'yes')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '2450')",""
"88","A14NSVH4W27CK0","english",28,"male","test","('answers_reported', 'placeholderCoworker 1 says%2C ""Dentists A%2C B%2C C%2C D and E.""%2CCoworker 2 says%2C ""Dentist F.""%2CCoworker 3 says%2C ""Dentist E.""')","('dentist_A_chosen', 'no')","('dentist_B_chosen', 'no')","('dentist_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3294')"
"89","A14NSVH4W27CK0","english",28,"male","nst","('NST_2a_chosen', 'yes')","('NST_2b_chosen', 'no')","('NST_2c_chosen', 'no')","('NST_2d_chosen', 'no')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '2780')"
"90","A14NSVH4W27CK0","english",28,"male","ginz","('ginzwhere_largegrain_y_chosen', 'no')","('ginzwhere_largegrain_n_chosen', 'yes')","('_REACTION_TIME_', '7952')","","",""
"91","A14NSVH4W27CK0","english",28,"male","control","('why_A_chosen', 'no')","('why_B_chosen', 'no')","('why_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '2278')",""
"92","A14NSVH4W27CK0","english",28,"male","exit_quest","('know_conditons', 'i would tell her to go to the parekway cafe down the street.')","('difficult', 'no it was just long')","('anything_else', '')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '65062')",""
"93","ALDWVFR4I0V2D","English",28,"male","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '6694')","","","",""
"94","ALDWVFR4I0V2D","English",28,"male","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '18924')",""
"95","ALDWVFR4I0V2D","English",28,"male","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '18554')",""
"96","ALDWVFR4I0V2D","English",28,"male","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1692')","","","",""
"97","ALDWVFR4I0V2D","English",28,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Bookstores A%2C B%2C C%2C D and E.""%2CFriend 2 says%2C ""Bookstores A and B.""%2CFriend 3 says%2C ""Bookstore E.""')","('books_A_chosen', 'no')","('books_B_chosen', 'no')","('books_C_chosen', 'no')","('no_one_chosen', 'yes')","('_REACTION_TIME_', '45810')"
"98","ALDWVFR4I0V2D","English",28,"male","nst","('NST_1a_chosen', 'yes')","('NST_1b_chosen', 'no')","('NST_1c_chosen', 'no')","('NST_1d_chosen', 'yes')","('_REACTION_TIME_', '12844')",""
"99","ALDWVFR4I0V2D","English",28,"male","ginz","('ginzwho_smallgrain_y_chosen', 'yes')","('ginzwho_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '11021')","","",""
"100","ALDWVFR4I0V2D","English",28,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Stalls D and E.""%2CRoommate 2 says%2C ""Stall A.""%2CRoommate 3 says%2C ""Stalls A%2C B%2C C%2C D and E.""')","('florist_A_chosen', 'no')","('florist_B_chosen', 'yes')","('florist_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '25469')"
"101","ALDWVFR4I0V2D","English",28,"male","control","('what_A_chosen', 'yes')","('what_B_chosen', 'no')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '12217')",""
"102","ALDWVFR4I0V2D","English",28,"male","nst","('NST_2a_chosen', 'yes')","('NST_2b_chosen', 'yes')","('NST_2c_chosen', 'yes')","('NST_2d_chosen', 'no')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '10274')"
"103","ALDWVFR4I0V2D","English",28,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '8912')","","",""
"104","ALDWVFR4I0V2D","English",28,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Store A.""%2CFriend 2 says%2C ""Store F.""%2CFriend 3 says%2C ""Stores A and B.""')","('shoes_A_chosen', 'yes')","('shoes_B_chosen', 'no')","('shoes_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '11232')"
"105","ALDWVFR4I0V2D","English",28,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Cafes A and B.""%2CRoommate 2 says%2C ""Cafes D and E.""%2CRoommate 3 says%2C ""Cafe E.""')","('coffee_A_chosen', 'yes')","('coffee_B_chosen', 'no')","('coffee_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '9523')"
"106","ALDWVFR4I0V2D","English",28,"male","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'yes')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '21280')",""
"107","ALDWVFR4I0V2D","English",28,"male","nst","('NST_3a_chosen', 'yes')","('NST_3b_chosen', 'no')","('NST_3c_chosen', 'no')","('NST_3d_chosen', 'yes')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '12214')"
"108","ALDWVFR4I0V2D","English",28,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '8139')","","",""
"109","ALDWVFR4I0V2D","English",28,"male","test","('answers_reported', 'placeholderCoworker 1 says%2C ""Dentists A%2C B%2C C%2C D and E.""%2CCoworker 2 says%2C ""Dentist E.""%2CCoworker 3 says%2C ""Dentists D and E.""')","('dentist_A_chosen', 'no')","('dentist_B_chosen', 'no')","('dentist_C_chosen', 'no')","('no_one_chosen', 'yes')","('_REACTION_TIME_', '11403')"
"110","ALDWVFR4I0V2D","English",28,"male","control","('when_A_chosen', 'no')","('when_B_chosen', 'no')","('when_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '21071')",""
"111","ALDWVFR4I0V2D","English",28,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stylist A.""%2CFriend 2 says%2C ""Stylists A and B.""%2CFriend 3 says%2C ""Stylists D and E.""')","('hair_A_chosen', 'yes')","('hair_B_chosen', 'no')","('hair_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '7119')"
